"","Plot","Position.point","Sample","DBH.Total","Canopy.area","d15N","d13C","N..percent","Total.N..mmol.gdw","C..percent","Total.C..mmol.gdw","C.N","Type","x.matrix","y.matrix","x.meter","y.meter","z"
"142","RK","T-J8","Soil",NA,NA,5.1,-25.37,1.37,0.98,20.91,17.42,15.3,"corner",1,0,4,0,NA
"143","RK","T-K1","Soil",NA,NA,5.39,-26.97,1.54,1.1,26.59,22.16,17.24,"corner",0,7,0,35,NA
"144","RK","T-K2","Soil",NA,NA,6.14,-26.34,1.15,0.82,22.81,19.01,19.8,"corner",0,6,0,30,NA
"145","RK","T-K3","Soil",NA,NA,6.77,-26.03,1.46,1.04,24.09,20.07,16.48,"corner",0,5,0,25,NA
"146","RK","T-K4","Soil",NA,NA,7.39,-25.81,1.84,1.31,27.88,23.24,15.19,"corner",0,4,0,20,NA
"147","RK","T-K5","Soil",NA,NA,7.56,-24.23,1.62,1.16,23.94,19.95,14.8,"corner",0,3,0,15,NA
"148","RK","T-K6","Soil",NA,NA,6.26,-23.05,2.28,1.63,32.25,26.87,14.17,"corner",0,2,0,10,NA
"149","RK","T-K7","Soil",NA,NA,4.56,-24.46,2.07,1.48,30.35,25.29,14.63,"corner",0,1,0,5,NA
"150","RK","T-K8","Soil",NA,NA,3.69,-25.46,1.43,1.02,21.91,18.26,15.32,"corner",0,0,0,0,NA
"151","RK","T-L1","Soil",NA,NA,6.7,-26.94,2.26,1.61,37.75,31.46,16.7,"corner",5,7,20,35,NA
"152","RK","T-L2","Soil",NA,NA,6.43,-25.87,1.5,1.07,24.35,20.29,16.22,"corner",5,6,20,30,NA
"153","RK","T-L3","Soil",NA,NA,6.66,-24.28,1.65,1.18,26.17,21.81,15.9,"corner",5,5,20,25,NA
"154","RK","T-L4","Soil",NA,NA,6.3,-25.95,1.34,0.96,22.79,18.99,16.96,"corner",5,4,20,20,NA
"155","RK","T-L5","Soil",NA,NA,6.77,-26.33,1.6,1.14,25.75,21.46,16.14,"corner",5,3,20,15,NA
"156","RK","T-L6","Soil",NA,NA,5.75,-25.87,1.04,0.74,19.9,16.58,19.08,"corner",5,2,20,10,NA
"157","RK","T-L7","Soil",NA,NA,5.98,-25.31,1.34,0.96,22.37,18.64,16.68,"corner",5,1,20,5,NA
"158","RK","T-L8","Soil",NA,NA,3.61,-26.74,1.93,1.38,29.64,24.7,15.37,"corner",5,0,20,0,NA
"159","AK","T-X1","Soil",NA,NA,5.23,-23.95,1.02,0.73,17.78,14.81,17.39,"corner",7,5,35,20,NA
"160","AK","T-X2","Soil",NA,NA,5.42,-22.98,1.16,0.83,21.24,17.7,18.35,"corner",6,5,30,20,NA
"161","AK","T-X3","Soil",NA,NA,5.17,-23.67,1.37,0.98,22.16,18.47,16.18,"corner",5,5,25,20,NA
"162","AK","T-X4","Soil",NA,NA,7.63,-21.52,1.64,1.17,24.46,20.39,14.91,"corner",4,5,20,20,NA
"163","AK","T-X5","Soil",NA,NA,6.97,-23.56,1.28,0.91,21.3,17.75,16.63,"corner",3,5,15,20,NA
"164","AK","T-X6","Soil",NA,NA,5.79,-23.86,1.21,0.86,20.28,16.9,16.76,"corner",2,5,10,20,NA
"165","AK","T-X7","Soil",NA,NA,5.54,-23.34,1.1,0.79,19.23,16.03,17.45,"corner",1,5,5,20,NA
"166","AK","T-X8","Soil",NA,NA,5.61,-24.05,1.07,0.77,19.26,16.05,17.93,"corner",0,5,0,20,NA
